0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:18 +0900] "GET /jspStudy/board/boardViewTime.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:27 +0900] "GET /jspStudy/board/boardViewTime.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:31 +0900] "GET /jspStudy/board/boardViewTime.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:35 +0900] "GET /jspStudy/board/boardViewTime.do HTTP/1.1" 404 160
